ORDER,Title,categoria,prakarana_label,nom_s,nom_d,nom_p,voc_s,voc_d,voc_p,acc_s,acc_d,acc_p,ins_s,ins_d,ins_p,dat_s,dat_d,dat_p,abl_s,abl_d,abl_p,gen_s,gen_d,gen_p,loc_s,loc_d,loc_p,COMENTÁRIO
36,११३. दकारान्तः ‘अस्मद्’ शब्दः त्रिषु लिङ्गेषु समानरूपः (Eu),सर्वनाम,सर्वनामशब्द प्रकरणम्,अहम्,आवाम्,वयम्,–,–,–,माम्/मा,आवाम्/नौ,अस्मान्/नः,मया,आवाभ्याम्,अस्माभिः,मह्यम्/मे,आवाभ्याम्/नौ,अस्मभ्यम्/नः,मत्,आवाभ्याम्,अस्मत्तः/अस्मत्,मम/मे,आवयोः/नौ,अस्माकम्/नः,मयि,आवयोः,अस्मासु,
37,११४. मकारान्तः पुंलिङ्गः ‘किम्’ शब्दः (Quem?),सर्वनाम,सर्वनामशब्द प्रकरणम्,कः,कौ,के,–,–,–,कम्,कौ,कान्,केन,काभ्याम्,कैः,कस्मै,काभ्याम्,केभ्यः,कस्मात्,काभ्याम्,केभ्यः,कस्य,कयोः,केषाम्,कस्मिन्,कयोः,केषु,"एवं कतर, कतम शब्दौ"
38,११५. मकारान्तः स्त्रीलिङ्गः ‘किम्’ शब्दः (Quem?),सर्वनाम,सर्वनामशब्द प्रकरणम्,का,के,काः,–,–,–,काम्,के,काः,कया,काभ्याम्,काभिः,कस्यै,काभ्याम्,काभ्यः,कस्याः,काभ्याम्,काभ्यः,कस्याः,कयोः,कासाम्,कस्याम्,कयोः,कासु,"एवं कतर, कतम शब्दौ"
39,११६. मकारान्तः नपुंसकलिङ्गः ‘किम्’ शब्दः (Que?),सर्वनाम,सर्वनामशब्द प्रकरणम्,किम्,के,कानि,–,–,–,किम्,के,कानि,केन,काभ्याम्,कैः,कस्मै,काभ्याम्,केभ्यः,कस्मात्,काभ्याम्,केभ्यः,कस्य,कयोः,केषाम्,कस्मिन्,कयोः,केषु,"एवं कतर, कतम शब्दौ"
40,११७. मकारान्तः पुंलिङ्गः ‘इदम्’ शब्दः (Este),सर्वनाम,सर्वनामशब्द प्रकरणम्,अयम्,इमौ,इमे,–,–,–,इमम्/एनम्,इमौ/एनौ,इमान्/एनान्,अनेन/एनेन,आभ्याम्,एभिः,अस्मै,आभ्याम्,एभ्यः,अस्मात्,आभ्याम्,एभ्यः,अस्य,अनयोः/एनयोः,एषाम्,अस्मिन्,अनयोः/एनयोः,एषु,
41,११८. मकारान्तः स्त्रीलिङ्गः ‘इदम्’ शब्दः (Esta),सर्वनाम,सर्वनामशब्द प्रकरणम्,इयम्,इमे,इमाः,–,–,–,इमाम्/एनाम्,इमे/एने,इमाः/एनाः,अनया/एनया,आभ्याम्,आभिः,अस्यै,आभ्याम्,आभ्यः,अस्याः,आभ्याम्,आभ्यः,अस्याः,अनयोः/एनयोः,आसाम्,अस्याम्,अनयोः/एनयोः,आसु,
42,११९. मकारान्तः नपुंसकलिङ्गः ‘इदम्’ शब्दः (Isto),सर्वनाम,सर्वनामशब्द प्रकरणम्,इदम्,इमे,इमानि,–,–,–,इदम्/एनत्,इमे/एने,इमानि/एनानि,अनेन/एनेन,आभ्याम्,एभिः,अस्मै,आभ्याम्,एभ्यः,अस्मात्,आभ्याम्,एभ्यः,अस्य,अनयोः/एनयोः,एषाम्,अस्मिन्,अनयोः/एनयोः,एषु,
43,१२०. सकारान्तः पुंलिङ्गः ‘अदस्’ शब्दः (Este),सर्वनाम,सर्वनामशब्द प्रकरणम्,असौ,अमू,अमी,–,–,–,अमुम्,अमू,अमून्,अमुना,अमूभ्याम्,अमीभिः,अमुष्मै,अमूभ्याम्,अमीभ्यः,अमुष्मात्,अमूभ्याम्,अमीभ्यः,अमुष्य,अमुयोः,अमीषाम्,अमुष्मिन्,अमुयोः,अमीषु,
44,१२१. सकारान्तः स्त्रीलिङ्गः ‘अदस्’ शब्दः (Esta),सर्वनाम,सर्वनामशब्द प्रकरणम्,असौ,अमू,अमूः,–,–,–,अमूम्,अमू,अमूः,अमुया,अमूभ्याम्,अमूभिः,अमुष्यै,अमूभ्याम्,अमूभ्यः,अमुष्याः,अमूभ्याम्,अमूभ्यः,अमुष्याः,अमुयोः,अमूषाम्,अमुष्याम्,अमुयोः,अमूषु,
45,१२२. सकारान्तः नपुंसकलिङ्गः ‘अदस्’ शब्दः (Isto),सर्वनाम,सर्वनामशब्द प्रकरणम्,अदः,अमू,अमूनि,–,–,–,अदः,अमू,अमूनि,अमुना,अमूभ्याम्,अमीभिः,अमुष्मै,अमूभ्याम्,अमीभ्यः,अमुष्मात्,अमूभ्याम्,अमीभ्यः,अमुष्य,अमुयोः,अमीषाम्,अमुष्मिन्,अमुयोः,अमीषु,
46,१२४. तकारान्तः पुंलिङ्गः ‘भवत्’ शब्दः (O senhor),सर्वनाम,सर्वनामशब्द प्रकरणम्,भवान्,भवन्तौ,भवन्तः,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,शेषं ‘भगवत्’ शब्दवत्
47,१२५. तकारान्तः स्त्रीलिङ्गः ‘भवत्’ शब्दः (A senhora),सर्वनाम,सर्वनामशब्द प्रकरणम्,भवती,भवत्यौ,भवत्यः,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,शेषं ‘नदी’ शब्दवत्
48,१२६. तकारान्तः नपुंसकलिङ्गः ‘भवत्’ शब्दः (O senhor),सर्वनाम,सर्वनामशब्द प्रकरणम्,भवत्,भवती,भवन्ति,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,शेषं ‘जगत्’ शब्दवत्
